Codigo;Fem - 50 a 69;% Fem - 50 a 69;Total;DRS
354760;3136;23,09%;725;DRS 13
354765;197;26,55%;53;DRS 15
354770;2770;26,20%;726;DRS 11
354780;90038;23,92%;21538;DRS 1
354790;779;23,14%;181;DRS 13
354800;2329;20,06%;468;DRS 7
354805;994;23,43%;233;DRS 2
354810;720;24,74%;179;DRS 14
354820;809;23,67%;192;DRS 17
354830;425;26,71%;114;DRS 11
354840;449;18,82%;85;DRS 2
354850;62853;26,70%;16782;DRS 4
354860;1363;25,39%;347;DRS 17
354870;99073;22,54%;22332;DRS 1
354880;23539;26,74%;6295;DRS 1
354890;30224;23,08%;6976;DRS 3
354900;366;26,60%;98;DRS 15
354910;12164;25,47%;3099;DRS 14
354920;327;25,21%;83;DRS 15
354925;253;25,90%;66;DRS 15
354930;273;26,79%;74;DRS 11
354940;5789;21,57%;1249;DRS 8
354950;760;17,70%;135;DRS 8
354960;465;22,05%;103;DRS 17
354970;7104;25,28%;1796;DRS 14
354980;59244;24,36%;14432;DRS 15
354990;82832;22,02%;18240;DRS 17
354995;1796;22,57%;406;DRS 1
355000;1237;23,63%;293;DRS 17
355010;4676;22,11%;1034;DRS 6
355020;3416;21,13%;722;DRS 16
355030;1427196;21,92%;312842;DRS 1
355040;4493;24,16%;1086;DRS 10
355050;774;20,72%;161;DRS 9
355060;11184;23,55%;2634;DRS 16
355070;8492;18,40%;1563;DRS 17
355080;1353;22,94%;311;DRS 14
355090;1768;22,49%;398;DRS 13
355100;42122;21,77%;9170;DRS 4
355110;1032;20,07%;208;DRS 16
355120;418;23,17%;97;DRS 6
355130;409;22,77%;94;DRS 15
355140;866;19,67%;171;DRS 13
355150;4147;18,09%;751;DRS 13
355160;3988;26,14%;1043;DRS 7
355170;13232;20,46%;2708;DRS 13
355180;1284;20,54%;264;DRS 12
355190;1654;19,36%;321;DRS 5
355200;674;21,51%;145;DRS 17
355210;5170;24,79%;1282;DRS 7
355220;77290;21,82%;16865;DRS 16
355230;884;22,86%;203;DRS 2
355240;28753;19,69%;5662;DRS 7
355250;31806;20,54%;6533;DRS 1
355255;458;23,95%;110;DRS 2
355260;1476;23,93%;354;DRS 15
355270;1694;21,32%;362;DRS 3
355280;30755;19,77%;6081;DRS 1
355290;720;22,89%;165;DRS 11
355300;1212;16,63%;202;DRS 6
355310;683;21,91%;150;DRS 5
355320;734;26,09%;192;DRS 5
355330;2641;22,57%;597;DRS 14
355340;3242;25,24%;819;DRS 15
355350;789;20,32%;161;DRS 16
355360;1709;26,29%;450;DRS 14
355365;355;25,16%;90;DRS 5
355370;6857;23,24%;1594;DRS 3
355380;2607;22,40%;584;DRS 6
355385;566;18,87%;107;DRS 16
355390;814;21,08%;172;DRS 11
355395;1547;20,48%;317;DRS 9
355400;12776;20,42%;2609;DRS 16
